,,Difficulty,,Master Fundamentals,10 Master Fund,5 Minute Master Fundamentals,Dodging,10 Dodging,5 Dodging,Conditioning,10 Min Conditioning,5 Min Conditioning,Faking and Inside Finishing,10 Min Faking,5 Minute Faking,Shooting,10 Shooting,5 Shooting,Defensive Emphasis,10 Defense,5 Defense,Catch Everything,10 Catch Everything,5 Catch Everything,Advanced - Fun and Challenging,10 Catch Everything,5 Catch Everything,Coaching,,No Coaching,,Coaching,No Coaching
24,Split to Jump Shot,2,X,,,,11,9,,14,10,,,,,15,,,,,,,,,,,,https://vimeo.com/997152904,https://vimeo.com/997152973,https://vimeo.com/997152831,https://vimeo.com/997153058,https://vimeo.com/997152572,https://vimeo.com/997152465
16,Step Back Throw Back,1,X,,,,6,5,5,,,,,,,,,,,,,,,,,,,https://vimeo.com/997153635,https://vimeo.com/997153515,https://vimeo.com/997153576,https://vimeo.com/997153464,https://vimeo.com/997153322,https://vimeo.com/997153154
11,Three Steps Up and Back,2,X,13,,,,,,5,3,1,,,,,,,7,,,,,,,,,,https://vimeo.com/997153712,,,,
6,Top Hand Only,1,X,5,,,,,,3,,,,,,4,,,,,,,,,2,,,https://vimeo.com/997153985,https://vimeo.com/997153886,https://vimeo.com/997153938,https://vimeo.com/997153914,,
44,Underhand Behind The Back,3,X,,,,,,,,,,,,,,,,,,,,,,17,,,https://vimeo.com/997154661,https://vimeo.com/997154577,https://vimeo.com/997154617,https://vimeo.com/997154545,,
45,Underhand Between The Legs,3,X,,,,,,,,,,,,,,,,,,,,,,18,,,https://vimeo.com/997154784,https://vimeo.com/997154725,https://vimeo.com/997154751,https://vimeo.com/997154698,,
20,Walk The Dog Pass,3,X,,,,16,,,12,,,,,,,,,,,,,,,16,,,https://vimeo.com/997155081,https://vimeo.com/997155010,https://vimeo.com/997155052,https://vimeo.com/997154970,,
19,Walk The Dog to Wrister,3,X,,,,15,,,11,,,,,,16,,,11,9,,,,,15,,,https://vimeo.com/997155211,https://vimeo.com/997155147,https://vimeo.com/997155179,https://vimeo.com/997155110,,
,With Coaching Link,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14LIu2TUH__CvkEcLHU9j75,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17zDI6FP-FU2zRVWCQyVQ3r,https://www.youtube.com/playlist?list=PLNWwwxEVe-17hhThAUVolBkEmUskK_RDZ,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14m86v11hlxk-wy9bE_WBTL,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17TaGwdIILefQKE6-dAscUF,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14MetxiT-qRvHmtD05tcN4V,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17cT7jP5a5UCJ03at3EwTB2,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17WNC1Qca33ny9s4Uo-7CjK,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17H9ZicioAUg_3I5I8zv3hB,,,,,,,,
,With Coaching Embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Coaching Link,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14rmbe4FvZk0Zv2EKaOiFq1,,https://www.youtube.com/playlist?list=PLNWwwxEVe-16DRTvC2JAHWyPcVZGlalLI,https://www.youtube.com/playlist?list=PLNWwwxEVe-14TmD5gXEgbhp102rmpowP-,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17sk1TGWWb5Rmz8lVSIQUFS,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14sClMr67eFItDNv631P7Ov,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-15MLdx9ZV9y9cbSA0RwN0s5,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-17AecOVLb0yC48g3pA2mBLp,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-14mmdK-QVnN4QLvbFiLK1mA,,,https://www.youtube.com/playlist?list=PLNWwwxEVe-165AHMsFB84qVrbdKNU9FBM,,,,,,,,
,No Coaching Embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
