,,powlax_wall_ball_drill,strong_hand_video,off_hand_video,both_hands_video,Master Fundamentals Wall Ball Routine,Master Fundamentals Wall Ball Workout,Master Fundamentals Wall Ball Workout,Dodging Wall Ball Workout,Dodging Wall Ball Workout,Dodging Wall Ball Workout,Conditioning Wall Ball Workout,Conditioning Wall Ball Workout,Conditioning Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Faking and Inside Finishing Wall Ball Workout,Shooting Wall Ball Workout,Shooting Wall Ball Workout,Shooting Wall Ball Workout,Long Pole Skills Wall Ball Workout,Long Pole Skills Wall Ball Workout,Long Pole Skills Wall Ball Workout,Catch Everything Wall Ball Workout,Catch Everything Wall Ball Workout,Catch Everything Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout,Advanced - Fun and Challenging Wall Ball Workout
40,Shovel Pass to Over The Shoulder,Shovel Pass to Over the Shoulder,https://player.vimeo.com/video/997151416,https://player.vimeo.com/video/997151230,,,,,,,,,,,,,,,,,12,10,,7,7,,11,8,3
9,Side Arm,Side Arm,https://player.vimeo.com/video/997151944,https://player.vimeo.com/video/997151620,,11,,,,,,,,,,,,8,4,,,,,8,,,,,
43,Side Arm to One Handed Extended Catch,Side Arm to One Handed Extended Catch,https://player.vimeo.com/video/997152331,https://player.vimeo.com/video/997152086,,,,,,,,,,,,,,,,,,,,14,,,14,10,5
24,Split to Jump Shot,Split to Jump Shot,https://player.vimeo.com/video/997152904,https://player.vimeo.com/video/997152686,https://player.vimeo.com/video/997152572,,,,11,9,,14,10,,,,,15,,,,,,,,,,,
16,Step Back Throw Back,Step Back Throw Back,https://player.vimeo.com/video/997153635,https://player.vimeo.com/video/997153515,https://player.vimeo.com/video/997153322,,,,6,5,5,,,,,,,,,,,,,,,,,,
6,Top Hand Only,Top Hand Only,https://player.vimeo.com/video/997153985,https://player.vimeo.com/video/997153886,,5,,,,,,3,,,,,,4,,,,,,,,,2,,
4,Turned Left,Turned Left,https://player.vimeo.com/video/997154167,https://player.vimeo.com/video/997154080,,8,,4,,,,,,,,,,,,,3,3,,3,3,2,,,
3,Turned Right,Turned Right,https://player.vimeo.com/video/997154308,https://player.vimeo.com/video/997154231,,9,,3,,,,,,,,,,,,,4,4,,4,4,3,,,
26,Twister,Twister,https://player.vimeo.com/video/997154514,https://player.vimeo.com/video/997154428,,,,,,,,,,,6,4,1,17,10,,,,,,,,7,4,
44,Underhand Behind The Back,Underhand Behind The Back,https://player.vimeo.com/video/997154661,https://player.vimeo.com/video/997154577,,,,,,,,,,,,,,,,,,,,,,,17,,
45,Underhand Between The Legs,Underhand Between the Legs,https://player.vimeo.com/video/997154784,https://player.vimeo.com/video/997154725,,,,,,,,,,,,,,,,,,,,,,,18,,
38,Up The Hash,Up the Hash,https://player.vimeo.com/video/997154935,https://player.vimeo.com/video/997154854,,,,,13,,,,,,,,,12,8,5,,,,,,,,,
20,Walk The Dog Pass,Walk the Dog Pass,https://player.vimeo.com/video/997155081,https://player.vimeo.com/video/997147863,,,,,16,,,12,,,,,,,,,,,,,,,16,,
19,Walk The Dog to Wrister,Walk the Dog to Wrister,https://player.vimeo.com/video/997155211,https://player.vimeo.com/video/997155147,,,,,15,,,11,,,,,,16,,,11,9,,,,,15,,
